# STEVAL-MKI208V1K (IIS3DWB) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x[LSB],acc_y[LSB],acc_z[LSB],int_1
7161151,22.082,-218.563,1078.724,362,-3583,17684,0
7161191,22.509,-181.963,1102.575,369,-2983,18075,0
7161224,15.616,-176.107,1122.644,256,-2887,18404,0
7161261,16.104,-155.733,1111.420,264,-2553,18220,0
7161301,9.150,-144.021,1140.334,150,-2361,18694,0
7161339,21.106,-104.737,1148.325,346,-1717,18825,0
7161372,9.150,-83.936,1136.186,150,-1376,18626,0
7161409,25.254,-33.794,1131.062,414,-554,18542,0
7161450,-22.082,-31.049,1168.882,-362,-509,19162,0
7161484,8.296,33.977,1142.225,136,557,18725,0
7161521,-1.342,54.290,1157.658,-22,890,18978,0
7161560,-20.618,62.037,1156.255,-338,1017,18955,0
7161598,-27.999,100.406,1149.240,-459,1646,18840,0
7161633,-53.314,107.604,1163.697,-874,1764,19077,0
7161670,-35.868,137.921,1156.743,-588,2261,18963,0
7161710,-55.632,133.407,1168.394,-912,2187,19154,0
7161744,-38.613,167.750,1138.504,-633,2750,18664,0
7161781,-73.505,156.892,1136.186,-1205,2572,18626,0
7161818,-65.697,175.436,1137.101,-1077,2876,18641,0
7161860,-69.845,195.749,1123.559,-1145,3209,18419,0
7161893,-83.204,188.978,1111.908,-1364,3098,18228,0
7161930,-47.824,192.150,1089.033,-784,3150,17853,0
7161968,-32.208,207.522,1074.515,-528,3402,17615,0
7162005,-12.444,186.233,1096.902,-204,3053,17982,0
7162041,-1.403,168.177,1068.476,-23,2757,17516,0
7162078,36.722,175.375,1052.128,602,2875,17248,0
7162116,6.893,154.208,1033.462,113,2528,16942,0
7162153,26.169,126.636,1018.456,429,2076,16696,0
7162190,10.126,146.461,1009.184,166,2401,16544,0
7162227,11.956,86.437,1011.929,196,1417,16589,0
7162264,22.997,83.265,988.566,377,1365,16206,0
7162302,18.788,45.750,985.333,308,750,16153,0
7162340,19.276,21.350,953.552,316,350,15632,0
7162376,4.148,-21.106,995.154,68,-346,16314,0
7162413,27.084,-29.280,949.831,444,-480,15571,0
7162451,42.273,-77.104,985.333,693,-1264,16153,0
7162489,16.104,-101.077,978.318,264,-1657,16038,0
7162524,49.166,-120.048,957.761,806,-1968,15701,0
7162563,20.252,-127.734,974.536,332,-2094,15976,0
7162600,69.418,-140.422,937.692,1138,-2302,15372,0
7162640,39.955,-170.190,981.124,655,-2790,16084,0
7162673,64.782,-161.650,943.792,1062,-2650,15472,0
7162711,60.146,-172.874,954.528,986,-2834,15648,0
7162751,68.442,-170.678,948.916,1122,-2798,15556,0
7162789,78.995,-176.534,945.622,1295,-2894,15502,0
7162822,76.250,-186.477,968.924,1250,-3057,15884,0
7162859,107.970,-181.048,974.109,1770,-2968,15969,0
7162897,109.800,-170.678,987.224,1800,-2798,16184,0
7162933,71.675,-190.991,988.566,1175,-3131,16206,0
7162972,78.995,-214.964,1019.432,1295,-3524,16712,0
7163008,61.976,-182.451,1016.626,1016,-2991,16666,0
7163045,28.975,-201.361,1063.779,475,-3301,17439,0
7163082,43.676,-190.564,1080.615,716,-3124,17715,0
7163121,25.254,-184.708,1096.475,414,-3028,17975,0
7163157,5.490,-185.989,1103.490,90,-3049,18090,0
7163194,15.128,-193.248,1099.281,248,-3168,18021,0
7163231,11.956,-175.192,1143.628,196,-2872,18748,0
7163269,7.320,-139.080,1115.629,120,-2280,18289,0
7163305,25.742,-116.022,1148.752,422,-1902,18832,0
7163343,7.320,-108.824,1158.756,120,-1784,18996,0
7163379,32.147,-49.593,1138.626,527,-813,18666,0
7163419,-7.808,-53.192,1161.013,-128,-872,19033,0
7163455,4.575,-0.305,1147.959,75,-5,18819,0
7163491,-12.871,27.206,1159.183,-211,446,19003,0
7163528,-12.383,67.893,1124.596,-203,1113,18436,0
7163564,-44.164,72.346,1156.377,-724,1186,18957,0
7163602,-16.531,133.346,1128.805,-271,2186,18505,0
7163639,-74.420,122.549,1161.989,-1220,2009,19049,0
7163677,-60.634,141.093,1180.655,-994,2313,19355,0
7163717,-44.530,180.377,1145.580,-730,2957,18780,0
7163755,-67.527,150.548,1144.238,-1107,2468,18758,0
7163789,-68.930,186.660,1130.696,-1130,3060,18536,0
7163826,-67.100,184.464,1127.890,-1100,3024,18490,0
7163864,-72.590,189.832,1123.254,-1190,3112,18414,0
7163900,-70.760,205.692,1105.503,-1160,3372,18123,0
7163936,-45.933,210.206,1112.457,-753,3446,18237,0
7163977,-33.550,191.174,1081.164,-550,3134,17724,0
7164011,-5.978,194.834,1108.736,-98,3194,18176,0
7164048,14.762,166.835,1054.568,242,2735,17288,0
7164086,22.509,170.434,1032.608,369,2794,16928,0
7164123,40.870,157.746,1026.020,670,2586,16820,0
7164161,25.742,130.235,1022.299,422,2135,16759,0
7164199,41.358,131.150,999.912,678,2150,16392,0
7164234,20.252,91.866,1003.206,332,1506,16446,0
7164272,35.868,60.634,986.370,588,994,16170,0
7164309,13.786,43.920,984.052,226,720,16132,0
7164348,19.764,5.978,958.798,324,98,15718,0
7164383,28.914,1.037,982.649,474,17,16109,0
7164420,27.084,-55.449,991.982,444,-909,16262,0
7164457,42.700,-89.365,973.743,700,-1465,15963,0
7164494,42.212,-116.876,970.022,692,-1916,15902,0
7164531,29.402,-132.248,945.256,482,-2168,15496,0
7164569,45.994,-146.705,960.201,754,-2405,15741,0
7164607,34.404,-156.648,960.262,564,-2568,15742,0
7164644,60.146,-162.077,941.108,986,-2657,15428,0
7164680,70.760,-163.907,960.262,1160,-2687,15742,0
7164720,66.612,-169.763,960.689,1092,-2783,15749,0
7164755,90.524,-165.676,940.620,1484,-2716,15420,0
7164794,70.760,-165.249,966.301,1160,-2709,15841,0
7164829,93.269,-186.477,965.813,1529,-3057,15833,0
7164866,94.672,-177.022,983.076,1552,-2902,16116,0
7164903,92.842,-187.880,984.479,1522,-3080,16139,0
7164941,76.250,-209.047,987.834,1250,-3427,16194,0
7164978,87.291,-200.446,1007.354,1431,-3286,16514,0
7165017,35.807,-199.592,1022.787,587,-3272,16767,0
7165054,67.527,-187.819,1040.538,1107,-3079,17058,0
7165093,28.487,-192.821,1063.413,467,-3161,17433,0
7165127,24.827,-189.649,1065.304,407,-3109,17464,0
7165163,11.956,-199.592,1090.985,196,-3272,17885,0
7165201,6.466,-197.274,1099.830,106,-3234,18030,0
7165238,10.126,-168.848,1130.208,166,-2768,18528,0
7165275,-4.148,-161.589,1149.850,-68,-2649,18850,0
7165312,-8.723,-123.647,1157.292,-143,-2027,18972,0
7165351,31.232,-89.792,1155.401,512,-1472,18941,0
7165391,-7.808,-81.191,1164.307,-128,-1331,19087,0
7165425,18.361,-34.221,1127.890,301,-561,18490,0
7165461,-13.298,5.490,1140.944,-218,90,18704,0
7165502,-4.575,46.604,1151.192,-75,764,18872,0
7165540,-22.509,59.719,1159.610,-369,979,19010,0
7165573,-25.742,75.579,1140.944,-422,1239,18704,0
7165610,-31.720,106.750,1154.974,-520,1750,18934,0
7165647,-40.870,118.035,1149.362,-670,1935,18842,0
7165684,-45.018,154.635,1159.610,-738,2535,19010,0
7165721,-69.845,139.751,1157.292,-1145,2291,18972,0
7165759,-63.440,181.292,1163.880,-1040,2972,19080,0
7165795,-60.146,170.861,1147.959,-986,2801,18819,0
7165833,-82.716,165.005,1145.153,-1356,2705,18773,0
7165870,-81.740,178.120,1115.263,-1340,2920,18283,0
7165907,-70.760,194.346,1122.278,-1160,3186,18398,0
7165945,-50.508,198.433,1100.806,-828,3253,18046,0
7165982,-39.040,175.375,1103.124,-640,2875,18084,0
7166020,-5.978,180.804,1072.746,-98,2964,17586,0
7166058,5.490,159.576,1047.980,90,2616,17180,0
7166093,18.849,150.121,1031.205,309,2461,16905,0
7166130,34.892,172.203,1008.330,572,2823,16530,0
7166167,39.955,127.063,1008.818,655,2083,16538,0
7166204,21.167,116.266,1014.857,347,1906,16637,0
7166242,35.807,87.718,1016.748,587,1438,16668,0
7166279,29.890,66.490,983.564,490,1090,16124,0
7166315,19.764,32.208,988.688,324,528,16208,0
7166353,19.276,24.949,966.789,316,409,15849,0
7166390,34.465,-30.561,979.843,565,-501,16063,0
7166427,20.191,-55.022,951.356,331,-902,15596,0
7166465,19.276,-81.679,953.674,316,-1339,15634,0
7166501,29.829,-125.904,969.107,489,-2064,15887,0
7166539,39.955,-138.592,954.162,655,-2272,15642,0
7166577,54.656,-134.932,961.665,896,-2212,15765,0
7166613,55.632,-162.992,955.138,912,-2672,15658,0
7166652,46.421,-176.534,953.674,761,-2894,15634,0
7166688,84.973,-146.705,935.496,1393,-2405,15336,0
7166725,65.697,-172.508,983.076,1077,-2828,16116,0
7166763,85.888,-172.874,954.589,1408,-2834,15649,0
7166802,102.907,-161.162,970.937,1687,-2642,15917,0
7166837,70.272,-185.135,987.773,1152,-3035,16193,0
7166874,101.077,-171.593,980.758,1657,-2813,16078,0
7166910,80.886,-203.618,973.316,1326,-3338,15956,0
7166948,87.718,-197.335,995.215,1438,-3235,16315,0
7166985,81.740,-202.276,992.897,1340,-3316,16277,0
7167023,14.274,-199.104,1053.592,234,-3264,17272,0
7167061,53.314,-182.390,1048.041,874,-2990,17181,0
7167100,13.298,-185.562,1078.846,218,-3042,17686,0
7167134,28.060,-205.448,1105.442,460,-3368,18122,0
7167171,38.125,-190.564,1111.969,625,-3124,18229,0
7167212,11.041,-193.248,1098.488,181,-3168,18008,0
7167250,20.191,-173.850,1123.681,331,-2850,18421,0
7167283,22.082,-142.679,1107.760,362,-2339,18160,0
7167320,22.509,-108.763,1153.571,369,-1783,18911,0
7167359,16.043,-101.992,1133.929,263,-1672,18589,0
7167394,12.383,-59.536,1146.556,203,-976,18796,0
7167431,-15.616,-33.794,1153.571,-256,-554,18911,0
7167469,-4.148,24.949,1138.626,-68,409,18666,0
7167505,-5.002,55.266,1158.695,-82,906,18995,0
7167543,-11.956,69.235,1163.392,-196,1135,19072,0
7167580,-17.934,94.062,1155.889,-294,1542,18949,0
7167616,-32.147,112.118,1162.416,-527,1838,19056,0
7167654,-50.996,128.832,1139.541,-836,2112,18681,0
7167691,-55.632,141.947,1171.810,-912,2327,19210,0
7167728,-54.168,155.977,1171.810,-888,2557,19210,0
7167766,-58.804,177.632,1143.262,-964,2912,18742,0
7167802,-83.143,162.260,1153.083,-1363,2660,18903,0
7167840,-54.168,191.662,1124.596,-888,3142,18436,0
7167877,-86.376,176.778,1120.387,-1416,2898,18367,0
7167914,-67.527,194.346,1113.372,-1107,3186,18252,0
7167952,-37.698,193.919,1084.458,-618,3179,17778,0
7167989,-43.615,185.806,1094.218,-715,3046,17938,0
7168028,0.000,196.176,1052.738,0,3216,17258,0
7168064,15.128,155.977,1057.374,248,2557,17334,0
7168099,16.958,143.350,1047.553,278,2350,17173,0
